Year	Data	Err-	Err+
-803718.87000	207.29000	1.10000	1.10000
-803182.44000	202.23000	0.34500	0.34500
-802572.67000	204.86000	0.82000	0.82000
-802059.87000	207.50000	0.46000	0.46000
-801975.28000	202.92000	1.03000	1.03000
-801759.25000	202.65000	0.52000	0.52000
-800922.09000	198.66000	0.49000	0.49000
-799286.06000	198.68000	0.87000	0.87000
-796731.30000	200.49000	1.09500	1.09500
-795428.82000	197.91000	0.71000	0.71000
-794902.59000	198.79000	1.05000	1.05000
-793737.32000	204.62000	0.99500	0.99500
-793172.45000	208.79000	0.83500	0.83500
-791902.76000	218.39000	0.96500	0.96500
-791569.39000	213.36000	0.80000	0.80000
-790667.30000	214.45000	1.26500	1.26500
-790080.78000	224.69000	1.83500	1.83500
-789106.88000	230.55000	0.88500	0.88500
-788689.41000	227.38000	0.42000	0.42000
-788003.01000	235.49000	1.49500	1.49500
-787544.04000	238.64000	0.39000	0.39000
-786741.87000	257.02000	1.34500	1.34500
-786529.24000	257.20000	0.76000	0.76000
-785853.57000	266.00000	0.36500	0.36500
-785405.51000	269.36000	0.63000	0.63000
-784613.26000	264.35000	0.69000	0.69000
-784239.60000	262.23000	1.28500	1.28500
-783569.05000	259.66000	0.12000	0.12000
-783084.08000	255.85000	0.33000	0.33000
-782311.76000	260.92000	1.25500	1.25500
-781248.53000	255.02000	0.53000	0.53000
-780778.45000	257.44000	0.32500	0.32500
-779936.68000	251.51000	0.35000	0.35000
-779612.83000	257.21000	0.30000	0.30000
-778769.44000	252.52000	0.46500	0.46500
-778238.92000	254.43000	1.18000	1.18000
-777417.55000	254.69000	0.56500	0.56500
-777107.98000	254.93000	0.24000	0.24000
-776282.79000	252.46000	0.33500	0.33500
-775731.75000	247.30000	1.00500	1.00500
-774832.70000	248.92000	0.31500	0.31500
-774382.26000	245.32000	0.18000	0.18000
-773588.01000	241.74000	0.43500	0.43500
-773008.81000	238.39000	1.13000	1.13000
-772094.14000	239.23000	0.50000	0.50000
-771734.47000	237.78000	0.75500	0.75500
-771299.82000	246.03000	1.22500	1.22500
-771045.64000	243.85000	1.04500	1.04500
-770787.96000	246.49000	1.08500	1.08500
-770524.56000	243.89000	0.55000	0.55000
-770225.26000	239.71000	0.93500	0.93500
-769862.67000	234.24000	0.80500	0.80500
-769569.33000	236.32000	0.82000	0.82000
-769070.67000	229.56000	0.90000	0.90000
-768649.15000	230.63000	1.05500	1.05500
-767701.42000	225.87000	0.47500	0.47500
-767111.38000	221.64000	0.20500	0.20500
-766167.26000	223.82000	0.25500	0.25500
-765797.16000	224.86000	0.78000	0.78000
-764858.91000	230.62000	0.44500	0.44500
-764238.50000	232.12000	0.69000	0.69000
-763901.48000	229.41000	1.33500	1.33500
-763636.64000	233.66000	1.52500	1.52500
-763231.82000	222.93000	0.46000	0.46000
-762726.88000	223.89000	1.03000	1.03000
-761820.58000	219.95000	0.11500	0.11500
-761151.80000	214.00000	0.93000	0.93000
-760216.04000	214.69000	0.56000	0.56000
-759914.49000	216.64000	0.37500	0.37500
-758989.94000	222.71000	0.61500	0.61500
-758566.06000	225.62000	1.16500	1.16500
-758158.27000	225.37000	0.87500	0.87500
-757928.21000	223.02000	0.34000	0.34000
-757611.88000	226.94000	0.71000	0.71000
-757185.69000	222.72000	0.75000	0.75000
-756412.42000	218.35000	1.17000	1.17000
-755835.45000	213.61000	1.07500	1.07500
-754900.68000	209.45000	0.68000	0.68000
-754616.17000	208.10000	0.98000	0.98000
-753636.83000	203.30000	0.76500	0.76500
-753164.58000	199.05000	0.85000	0.85000
-751984.65000	203.90000	0.92000	0.92000
-751539.07000	195.43000	0.17000	0.17000
-750615.88000	197.50000	0.65000	0.65000
-750023.87000	193.55000	0.94000	0.94000
-749086.25000	191.30000	0.69000	0.69000
-748756.44000	192.08000	0.78500	0.78500
-747864.18000	190.17000	0.88000	0.88000
-747312.93000	188.68000	0.63000	0.63000
-746386.88000	187.54000	0.42000	0.42000
-745990.20000	187.95000	0.63500	0.63500
-745227.04000	187.92000	0.16000	0.16000
-744669.93000	190.24000	0.21000	0.21000
-743721.05000	187.29000	0.62000	0.62000
-742573.14000	188.97000	0.45000	0.45000
-742009.08000	188.18000	0.45500	0.45500
-741112.17000	187.33000	0.36000	0.36000
-740694.75000	188.65000	1.35500	1.35500
-739924.13000	189.14000	0.65500	0.65500
-739379.90000	184.77000	1.03500	1.03500
-738510.92000	183.39000	1.20000	1.20000
-738156.45000	185.40000	1.19000	1.19000
-737224.56000	185.61000	0.16500	0.16500
-736630.99000	191.74000	0.46500	0.46500
-735710.12000	204.52000	0.74500	0.74500
-735319.82000	206.92000	0.78000	0.78000
-734572.22000	213.14000	0.83000	0.83000
-734157.31000	217.19000	0.69000	0.69000
-733459.91000	217.88000	0.41500	0.41500
-733184.57000	214.66000	0.35500	0.35500
-732512.62000	216.15000	0.90500	0.90500
-732072.23000	210.60000	0.51500	0.51500
-731379.00000	207.72000	0.40500	0.40500
-731043.50000	208.11000	0.62000	0.62000
-730371.75000	213.73000	0.94500	0.94500
-729911.00000	211.62000	0.18000	0.18000
-729234.23000	210.70000	0.17000	0.17000
-728958.31000	210.16000	0.34500	0.34500
-728310.31000	212.17000	0.86000	0.86000
-727886.94000	210.01000	0.50500	0.50500
-727037.53000	211.08000	0.39000	0.39000
-726643.90000	210.24000	0.41500	0.41500
-725948.50000	210.07000	0.81000	0.81000
-724626.86000	211.43000	0.38500	0.38500
-724299.59000	211.08000	0.53500	0.53500
-723524.43000	211.49000	0.64000	0.64000
-723025.36000	210.48000	0.18500	0.18500
-722192.00000	214.01000	0.59500	0.59500
-721830.23000	212.55000	0.88500	0.88500
-721044.59000	212.11000	0.34500	0.34500
-720555.81000	216.10000	1.01000	1.01000
-719739.86000	218.96000	0.63500	0.63500
-719457.52000	219.20000	0.59000	0.59000
-718640.76000	217.04000	0.45000	0.45000
-718137.29000	212.03000	0.42000	0.42000
-717337.18000	200.82000	0.37500	0.37500
-716828.35000	193.46000	0.82000	0.82000
-716005.48000	189.88000	0.56500	0.56500
-715398.27000	198.43000	0.58500	0.58500
-714635.91000	210.51000	0.82500	0.82500
-714360.16000	213.60000	0.33000	0.33000
-713615.38000	227.58000	0.27500	0.27500
-713165.73000	223.14000	0.29500	0.29500
-712453.80000	227.08000	1.00500	1.00500
-712115.58000	227.64000	0.80500	0.80500
-711362.50000	223.89000	0.23500	0.23500
-710293.73000	224.00000	0.72500	0.72500
-710071.47000	224.12000	0.74500	0.74500
-709449.04000	225.39000	0.14500	0.14500
-709033.36000	224.90000	0.31000	0.31000
-708506.45000	227.03000	0.36500	0.36500
-707959.55000	230.51000	0.49500	0.49500
-707503.79000	231.43000	0.43000	0.43000
-707009.15000	234.84000	0.57500	0.57500
-706463.45000	233.11000	0.50500	0.50500
-706249.68000	233.58000	0.50000	0.50000
-705693.73000	233.51000	0.73000	0.73000
-705360.70000	238.85000	0.40000	0.40000
-704760.74000	236.05000	0.46500	0.46500
-704542.95000	236.05000	0.87500	0.87500
-704103.20000	237.66000	0.78500	0.78500
-703776.95000	237.18000	0.66500	0.66500
-703293.91000	235.09000	0.84000	0.84000
-703103.34000	234.04000	0.23000	0.23000
-702631.81000	233.54000	0.68000	0.68000
-702300.52000	232.83000	0.26000	0.26000
-701846.07000	232.28000	0.56000	0.56000
-701518.52000	233.35000	0.63000	0.63000
-701059.98000	230.59000	0.13000	0.13000
-700784.27000	232.18000	0.81000	0.81000
-700250.92000	232.16000	0.37500	0.37500
-700043.15000	230.88000	0.51000	0.51000
-699574.52000	232.46000	0.27000	0.27000
-699318.53000	235.42000	0.48500	0.48500
-698864.84000	236.61000	0.24000	0.24000
-698535.02000	236.72000	0.32500	0.32500
-698153.69000	237.21000	0.27500	0.27500
-697914.71000	239.73000	0.40000	0.40000
-697489.02000	239.01000	0.32500	0.32500
-697265.75000	238.86000	0.51000	0.51000
-696803.23000	241.83000	0.36500	0.36500
-696555.54000	240.90000	0.96000	0.96000
-696089.00000	241.03000	0.39500	0.39500
-695796.68000	239.88000	0.63500	0.63500
-695392.45000	238.42000	0.55500	0.55500
-695140.29000	239.44000	0.48000	0.48000
-694694.83000	238.13000	0.64000	0.64000
-694484.89000	238.05000	0.76000	0.76000
-694031.88000	238.74000	0.73000	0.73000
-693782.31000	236.80000	0.28500	0.28500
-693309.26000	239.80000	0.71000	0.71000
-692999.14000	239.31000	0.45500	0.45500
-692586.82000	240.46000	0.35500	0.35500
-692330.35000	239.34000	0.49500	0.49500
-691871.29000	237.76000	0.42000	0.42000
-691624.04000	243.70000	1.05000	1.05000
-691127.09000	238.47000	1.07500	1.07500
-690882.46000	239.30000	0.63500	0.63500
-690368.34000	243.56000	0.28000	0.28000
-690017.96000	239.38000	0.97500	0.97500
-689517.67000	238.42000	0.62000	0.62000
-689271.83000	239.29000	0.52500	0.52500
-688786.39000	236.45000	0.26500	0.26500
-688524.65000	235.80000	0.49500	0.49500
-688001.45000	232.27000	0.74500	0.74500
-687743.26000	232.07000	0.64500	0.64500
-687207.83000	230.67000	0.83000	0.83000
-686859.87000	227.64000	0.57000	0.57000
-686350.13000	227.65000	0.67000	0.67000
-686050.38000	226.73000	0.50000	0.50000
-685495.50000	222.97000	0.62000	0.62000
-685204.04000	222.70000	0.52500	0.52500
-684631.81000	222.62000	0.52500	0.52500
-684319.11000	220.63000	0.69500	0.69500
-683729.87000	220.62000	0.35000	0.35000
-683344.84000	221.82000	0.38500	0.38500
-682808.06000	224.36000	0.64500	0.64500
-682473.68000	225.64000	0.82500	0.82500
-681878.75000	222.70000	0.30000	0.30000
-681507.86000	220.24000	0.84000	0.84000
-680790.09000	219.14000	0.47500	0.47500
-680393.71000	221.31000	0.44500	0.44500
-679719.93000	227.90000	0.66000	0.66000
-679275.67000	225.81000	0.60500	0.60500
-678677.61000	233.11000	0.58000	0.58000
-678362.58000	233.61000	0.27500	0.27500
-677785.17000	232.70000	0.45000	0.45000
-677505.37000	229.16000	0.40500	0.40500
-676791.62000	220.09000	0.76000	0.76000
-676378.18000	218.21000	0.69000	0.69000
-675650.74000	216.59000	0.46500	0.46500
-675202.31000	219.96000	0.30500	0.30500
-674580.74000	222.57000	0.38000	0.38000
-673456.53000	216.12000	0.40500	0.40500
-673078.40000	211.69000	0.29000	0.29000
-672279.38000	204.67000	0.36500	0.36500
-671746.11000	201.12000	0.50000	0.50000
-670811.38000	197.13000	0.49500	0.49500
-670200.88000	194.79000	0.29000	0.29000
-669507.93000	196.83000	0.34500	0.34500
-669120.75000	194.88000	0.48500	0.48500
-668346.32000	191.51000	0.46000	0.46000
-667869.30000	187.66000	0.09000	0.09000
-666965.54000	180.67000	0.35500	0.35500
-666465.26000	177.71000	0.34000	0.34000
-665459.86000	173.71000	0.69000	0.69000
-664803.36000	174.77000	0.52000	0.52000
-663886.52000	180.54000	0.56000	0.56000
-663371.94000	180.17000	0.56000	0.56000
-662458.09000	187.77000	0.41500	0.41500
-662370.40000	192.55000	0.65000	0.65000
-661987.52000	191.02000	0.60000	0.60000
-660927.55000	190.86000	0.51000	0.51000
-660846.61000	193.91000	1.06000	1.06000
-660332.18000	189.69000	0.76000	0.76000
-659265.90000	191.59000	0.38500	0.38500
-659168.32000	193.97000	0.49500	0.49500
-658513.55000	188.43000	0.47500	0.47500
-657461.90000	185.68000	0.20500	0.20500
-657343.82000	187.38000	0.53000	0.53000
-656814.10000	184.10000	0.14500	0.14500
-655772.00000	190.88000	0.43500	0.43500
-655704.21000	189.23000	0.89000	0.89000
-655231.09000	192.93000	0.32500	0.32500
-654182.65000	200.35000	0.37500	0.37500
