Year	Data	Err-	Err+
1959	315.98167	0.35980	0.35980
1960	316.90917	0.35980	0.35980
1961	317.64333	0.35980	0.35980
1962	318.45417	0.35980	0.35980
1963	318.99250	0.35980	0.35980
1964	319.61750	0.35980	0.35980
1965	320.03667	0.35980	0.35980
1966	321.36917	0.35980	0.35980
1967	322.18083	0.35980	0.35980
1968	323.05000	0.35980	0.35980
1969	324.62167	0.35980	0.35980
1970	325.68167	0.35980	0.35980
1971	326.31917	0.35980	0.35980
1972	327.45667	0.35980	0.35980
1973	329.68083	0.35980	0.35980
1974	330.25083	0.35980	0.35980
1975	331.16167	0.35980	0.35980
1976	332.16167	0.35980	0.35980
1977	333.91083	0.35980	0.35980
1978	335.51583	0.35980	0.35980
1979	336.86083	0.35980	0.35980
1980	338.70000	0.35980	0.35980
1981	339.95250	0.35980	0.35980
1982	341.15083	0.35980	0.35980
1983	342.79750	0.35980	0.35980
1984	344.49917	0.35980	0.35980
1985	345.88917	0.35980	0.35980
1986	347.13333	0.35980	0.35980
1987	348.85667	0.35980	0.35980
1988	351.24167	0.35980	0.35980
1989	352.70750	0.35980	0.35980
1990	353.99083	0.35980	0.35980
1991	355.39333	0.35980	0.35980
1992	356.17333	0.35980	0.35980
1993	356.84750	0.35980	0.35980
1994	358.71583	0.35980	0.35980
1995	360.73000	0.35980	0.35980
1996	362.51083	0.35980	0.35980
1997	363.64917	0.35980	0.35980
1998	366.52417	0.35980	0.35980
1999	368.21500	0.35980	0.35980
2000	369.38417	0.35980	0.35980
2001	370.93833	0.35980	0.35980
2002	373.02250	0.35980	0.35980
2003	375.57250	0.35980	0.35980
2004	377.30750	0.35980	0.35980
2005	379.56750	0.35980	0.35980
2006	381.77333	0.35980	0.35980
2007	383.56250	0.35980	0.35980
2008	385.41917	0.35980	0.35980
2009	387.34500	0.35980	0.35980
2010	389.91417	0.35980	0.35980
2011	391.69500	0.35980	0.35980
2012	393.94750	0.35980	0.35980
2013	396.64917	0.35980	0.35980
2014	398.70833	0.35980	0.35980
2015	400.86833	0.35980	0.35980
2016	404.20917	0.35980	0.35980
2017	406.51500	0.35980	0.35980
2018	408.52083	0.35980	0.35980
2019	411.42667	0.35980	0.35980
2020	413.93833	0.35980	0.35980
