Date	N12	N3	N4	N34
1982-01-01	-0.2400	0.1700	-0.2100	0.0800
1982-02-01	-0.7200	-0.1100	-0.1100	-0.2000
1982-03-01	-1.3800	-0.2500	-0.0500	-0.1400
1982-04-01	-1.1600	-0.0500	0.1000	0.0200
1982-05-01	-0.6200	0.4900	0.4000	0.4900
1982-06-01	-0.2900	0.4600	0.6200	0.6500
1982-07-01	0.2400	0.2700	-0.0200	0.2700
1982-08-01	0.8500	0.8300	0.0100	0.8600
1982-09-01	1.3300	1.4900	0.2400	1.2400
1982-10-01	1.8000	1.9600	0.4300	1.7300
1982-11-01	2.7800	2.1900	0.1800	1.6800
1982-12-01	2.8900	2.8000	0.3600	2.2100
1983-01-01	2.3000	2.6900	0.4100	2.1300
1983-02-01	1.5500	2.0100	0.4100	1.8100
1983-03-01	1.7300	1.3200	0.3700	1.2200
1983-04-01	2.3700	1.1900	-0.0200	0.6800
1983-05-01	3.2600	1.4300	0.1800	0.6800
1983-06-01	4.0300	1.4500	-0.0600	0.4500
1983-07-01	3.8500	0.6800	-0.3200	-0.3300
1983-08-01	2.8800	0.5500	-0.4900	-0.4400
1983-09-01	1.5800	0.2000	-0.6200	-0.3800
1983-10-01	1.1100	-0.5200	-1.0200	-1.0200
1983-11-01	0.3800	-1.0300	-1.0100	-1.2900
1983-12-01	0.1100	-0.8800	-0.9700	-1.1600
1984-01-01	-0.1600	-0.8700	-0.8100	-0.9600
1984-02-01	-0.8700	0.0300	-0.8400	-0.1600
1984-03-01	-0.8800	-0.2800	-0.9100	-0.5200
1984-04-01	-0.4500	-0.2900	-0.9700	-0.5400
1984-05-01	-1.1700	-0.8400	-0.8500	-0.6900
1984-06-01	-0.9700	-1.2900	-0.8100	-1.0300
1984-07-01	-0.6900	-0.8300	-0.4500	-0.6800
1984-08-01	-0.5700	-0.5800	-0.6500	-0.5400
1984-09-01	-0.3800	-0.2900	-0.4500	-0.4100
1984-10-01	-0.4300	-0.9000	-0.6700	-0.7500
1984-11-01	-0.2100	-1.0500	-0.7500	-1.3000
1984-12-01	-0.2100	-1.3700	-1.0000	-1.4800
1985-01-01	-0.9300	-1.3900	-0.8300	-1.3000
1985-02-01	-1.3000	-1.1400	-0.5700	-0.9200
1985-03-01	-0.9500	-0.9600	-0.9900	-0.8900
1985-04-01	-1.4300	-0.9400	-1.0900	-1.1000
1985-05-01	-1.8900	-1.2200	-1.0800	-1.0800
1985-06-01	-1.3500	-1.1900	-0.9600	-1.0800
1985-07-01	-1.3700	-1.1400	-0.7400	-0.8000
1985-08-01	-1.2600	-0.9800	-0.6000	-0.6300
1985-09-01	-1.3500	-0.9700	-0.6000	-0.7700
1985-10-01	-1.1100	-0.9800	-0.5700	-0.7400
1985-11-01	-0.7900	-0.9100	-0.3700	-0.5900
1985-12-01	-0.5000	-0.8800	-0.3400	-0.5900
1986-01-01	-0.0200	-0.8700	-0.5200	-0.7200
1986-02-01	-0.2200	-0.5800	-0.3700	-0.7800
1986-03-01	-0.6900	-0.4200	-0.2900	-0.6000
1986-04-01	-0.9100	-0.5300	-0.6800	-0.5200
1986-05-01	-1.2700	-0.7700	-0.4400	-0.5600
1986-06-01	-1.0200	-0.4900	-0.2400	-0.3300
1986-07-01	-0.6100	-0.0900	-0.2900	-0.0400
1986-08-01	-0.1400	-0.1000	-0.0100	0.1900
1986-09-01	-0.1100	0.2900	0.1500	0.4000
1986-10-01	0.1200	0.3400	0.2300	0.5100
1986-11-01	-0.0100	0.5400	0.3000	0.5400
1986-12-01	0.1200	0.6000	0.1900	0.8200
1987-01-01	0.5400	0.8100	0.2600	0.9400
1987-02-01	0.6600	0.7800	0.3100	0.8200
1987-03-01	0.9400	0.8000	0.4700	0.8900
1987-04-01	0.8700	0.5700	0.2600	0.4500
1987-05-01	0.8400	0.6200	0.0600	0.3200
1987-06-01	0.6600	0.5100	0.3400	0.7200
1987-07-01	0.7000	0.9900	0.2900	1.0400
1987-08-01	0.7200	1.0600	0.3500	1.2000
1987-09-01	0.7100	1.3700	0.3300	1.3200
1987-10-01	1.2900	0.8800	0.6300	0.9700
1987-11-01	0.9300	0.7300	0.6300	0.8500
1987-12-01	0.4400	0.9100	0.5100	0.7700
1988-01-01	-0.1900	0.5300	0.5000	0.6700
1988-02-01	-0.4200	-0.0300	0.3100	0.2200
1988-03-01	-0.8500	-0.1000	-0.0700	0.0600
1988-04-01	-1.0700	-0.7600	-0.6000	-0.5500
1988-05-01	-1.1300	-1.6700	-0.7200	-1.3200
1988-06-01	-1.5900	-2.1600	-0.9500	-1.7000
1988-07-01	-1.6000	-2.0800	-1.0000	-1.7300
1988-08-01	-1.6600	-1.6000	-0.9900	-1.4300
1988-09-01	-1.5200	-0.9400	-0.7700	-0.9300
1988-10-01	-1.5300	-1.5800	-1.7500	-2.0100
1988-11-01	-1.2200	-1.8200	-1.8700	-2.2200
1988-12-01	-1.1700	-1.8200	-1.7800	-2.0100
1989-01-01	-0.4800	-1.4500	-1.8600	-2.0000
1989-02-01	-0.2300	-0.9600	-1.4600	-1.4800
1989-03-01	0.0000	-1.2300	-1.2600	-1.4400
1989-04-01	-0.1300	-1.0600	-1.1000	-1.3200
1989-05-01	-1.2500	-0.9000	-0.6900	-0.8900
1989-06-01	-1.1500	-0.3900	-1.0500	-0.6700
1989-07-01	-0.7000	-0.5200	-0.8300	-0.5700
1989-08-01	-0.5100	-0.6500	-0.9100	-0.7200
1989-09-01	-0.8800	-0.4000	-0.5400	-0.5100
1989-10-01	-0.6800	-0.5700	-0.5400	-0.5500
1989-11-01	-0.4300	-0.7000	-0.7600	-0.6200
1989-12-01	-0.5800	-0.5000	-0.1500	-0.2000
1990-01-01	-0.6000	-0.4000	-0.0200	-0.1100
1990-02-01	-0.4300	-0.1100	0.1800	0.0100
1990-03-01	-0.5000	-0.5000	0.1300	-0.1800
1990-04-01	-0.7000	-0.2100	0.1600	-0.0600
1990-05-01	-0.6100	0.0300	-0.1500	0.0400
1990-06-01	-0.4000	-0.1800	-0.2000	-0.2600
1990-07-01	-0.9000	-0.1500	-0.1100	-0.0300
1990-08-01	-0.4700	-0.0600	0.1400	0.0900
1990-09-01	-0.6000	-0.0100	0.0800	-0.0300
1990-10-01	-0.7900	-0.1700	0.2800	0.1800
1990-11-01	-0.9000	-0.3600	0.1500	-0.0900
1990-12-01	-0.7200	-0.0800	0.3900	0.2200
1991-01-01	-0.7800	-0.0500	0.4000	0.3300
1991-02-01	-0.4000	-0.1000	0.3000	0.1400
1991-03-01	-0.2800	-0.2000	0.1500	-0.0800
