	so2	sun	vol	luc	co2	ch4	n2o	c11	c12	oth
1760	nan	-0.07826	-0.02400	-0.00400	-0.24604	-0.07391	-0.00429	nan	nan	nan
1761	nan	0.01029	-0.43720	-0.00400	-0.24598	-0.07329	-0.00395	nan	nan	nan
1762	nan	0.03410	-0.12000	-0.00500	-0.24591	-0.07261	-0.00361	nan	nan	nan
1763	nan	0.02221	-0.03720	-0.00500	-0.24585	-0.07187	-0.00361	nan	nan	nan
1764	nan	0.00712	-0.00840	-0.00600	-0.24579	-0.07100	-0.00395	nan	nan	nan
1765	nan	-0.02197	-0.00120	-0.00600	-0.23585	-0.07001	-0.00395	nan	nan	nan
1766	nan	-0.01751	0.00000	-0.00600	-0.25028	-0.06909	-0.00429	nan	nan	nan
1767	nan	-0.00284	0.00000	-0.00700	-0.24742	-0.06804	-0.00463	nan	nan	nan
1768	nan	0.05470	0.00000	-0.00700	-0.25093	-0.06706	-0.00496	nan	nan	nan
1769	nan	0.09968	0.00000	-0.00800	-0.25118	-0.06613	-0.00530	nan	nan	nan
1770	nan	0.11558	0.00000	-0.00800	-0.25143	-0.06521	-0.00564	nan	nan	nan
1771	nan	0.10229	0.00000	-0.00800	-0.25168	-0.06442	-0.00598	nan	nan	nan
1772	nan	0.09206	-0.02800	-0.00900	-0.25193	-0.06368	-0.00632	nan	nan	nan
1773	nan	0.05288	-0.00800	-0.00900	-0.25217	-0.06313	-0.00700	nan	nan	nan
1774	nan	0.02820	-0.00200	-0.01000	-0.25242	-0.06270	-0.00734	nan	nan	nan
1775	nan	-0.00865	-0.00040	-0.01000	-0.25267	-0.06246	-0.00768	nan	nan	nan
1776	nan	-0.01276	0.00000	-0.01000	-0.25292	-0.06239	-0.00835	nan	nan	nan
1777	nan	-0.00077	0.00000	-0.01100	-0.25317	-0.06246	-0.00869	nan	nan	nan
1778	nan	0.04335	-0.02680	-0.01100	-0.25343	-0.06258	-0.00903	nan	nan	nan
1779	nan	0.00188	-0.02840	-0.01200	-0.25676	-0.06270	-0.00971	nan	nan	nan
1780	nan	-0.01794	-0.00720	-0.01200	-0.23521	-0.06270	-0.01005	nan	nan	nan
1781	nan	-0.00279	-0.00160	-0.01200	-0.22911	-0.06264	-0.01039	nan	nan	nan
1782	nan	0.01335	-0.00040	-0.01300	-0.22662	-0.06239	-0.01073	nan	nan	nan
1783	nan	-0.01477	-3.14280	-0.01300	-0.22251	-0.06215	-0.01107	nan	nan	nan
1784	nan	-0.01371	-0.20880	-0.01400	-0.21840	-0.06184	-0.01141	nan	nan	nan
1785	nan	-0.00153	-0.04840	-0.01400	-0.21295	-0.06172	-0.01175	nan	nan	nan
1786	nan	0.03276	-0.01080	-0.01400	-0.20858	-0.06172	-0.01209	nan	nan	nan
1787	nan	0.05111	-0.00080	-0.01500	-0.20421	-0.06184	-0.01209	nan	nan	nan
1788	nan	0.08405	-0.05320	-0.01500	-0.19985	-0.06209	-0.01209	nan	nan	nan
1789	nan	0.02855	-0.01640	-0.01600	-0.20293	-0.06233	-0.01209	nan	nan	nan
1790	nan	-0.03080	-0.00360	-0.01600	-0.19723	-0.06264	-0.01209	nan	nan	nan
1791	nan	-0.03712	-0.00040	-0.01600	-0.19153	-0.06288	-0.01209	nan	nan	nan
1792	nan	-0.03474	0.00000	-0.01700	-0.18585	-0.06301	-0.01209	nan	nan	nan
1793	nan	-0.03885	0.00000	-0.01700	-0.18016	-0.06307	-0.01175	nan	nan	nan
1794	nan	-0.03914	-0.06280	-0.01800	-0.17449	-0.06288	-0.01141	nan	nan	nan
1795	nan	-0.00371	0.00000	-0.01800	-0.17502	-0.06258	-0.01107	nan	nan	nan
1796	nan	-0.01096	-0.31240	-0.01800	-0.16122	-0.06197	-0.01073	nan	nan	nan
1797	nan	-0.01915	-0.02840	-0.01900	-0.15715	-0.06117	-0.01005	nan	nan	nan
1798	nan	-0.02200	-0.00640	-0.01900	-0.15309	-0.06001	-0.00971	nan	nan	nan
1799	nan	-0.02640	-0.00080	-0.02000	-0.15198	-0.05879	-0.00971	nan	nan	nan
1800	nan	-0.04805	0.00000	-0.02000	-0.14900	-0.05758	-0.00937	nan	nan	nan
1801	nan	-0.01383	-0.06160	-0.02000	-0.14601	-0.05642	-0.00971	nan	nan	nan
1802	nan	-0.00201	-0.01920	-0.02100	-0.14303	-0.05551	-0.00971	nan	nan	nan
1803	nan	-0.02758	-0.00440	-0.02100	-0.14005	-0.05472	-0.01005	nan	nan	nan
1804	nan	-0.02904	-0.09200	-0.02200	-0.13707	-0.05412	-0.01073	nan	nan	nan
1805	nan	-0.04256	-0.02800	-0.02200	-0.13409	-0.05357	-0.01107	nan	nan	nan
1806	nan	-0.03073	-0.00640	-0.02200	-0.13112	-0.05321	-0.01175	nan	nan	nan
1807	nan	-0.05326	-0.00080	-0.02300	-0.12814	-0.05285	-0.01209	nan	nan	nan
1808	nan	-0.06306	0.00000	-0.02300	-0.12517	-0.05260	-0.01277	nan	nan	nan
1809	nan	-0.05997	-2.77880	-0.02400	-0.12220	-0.05248	-0.01311	nan	nan	nan
1810	nan	-0.06111	-0.90160	-0.02400	-0.14870	-0.05230	-0.01345	nan	nan	nan
1811	nan	-0.06305	-0.33440	-0.02400	-0.14922	-0.05224	-0.01379	nan	nan	nan
1812	nan	-0.06347	-0.12320	-0.02500	-0.12722	-0.05212	-0.01379	nan	nan	nan
1813	nan	-0.05886	-0.04360	-0.02500	-0.12655	-0.05200	-0.01379	nan	nan	nan
1814	nan	-0.05659	0.00000	-0.02600	-0.12588	-0.05194	-0.01345	nan	nan	nan
1815	nan	-0.05148	-4.65160	-0.02600	-0.11736	-0.05176	-0.01311	nan	nan	nan
1816	nan	-0.04229	-1.82120	-0.02600	-0.11764	-0.05152	-0.01243	nan	nan	nan
1817	nan	-0.03779	-0.96760	-0.02700	-0.11791	-0.05127	-0.01141	nan	nan	nan
1818	nan	-0.03710	-0.36600	-0.02700	-0.11900	-0.05091	-0.01039	nan	nan	nan
1819	nan	-0.04440	-0.13480	-0.02800	-0.11820	-0.05043	-0.00971	nan	nan	nan
1820	nan	-0.04451	-0.01560	-0.02800	-0.11777	-0.04977	-0.00835	nan	nan	nan
1821	nan	-0.04916	0.00000	-0.02800	-0.11734	-0.04898	-0.00734	nan	nan	nan
1822	nan	-0.05000	0.00000	-0.02900	-0.11696	-0.04808	-0.00666	nan	nan	nan
1823	nan	-0.05219	0.00000	-0.02900	-0.11663	-0.04700	-0.00564	nan	nan	nan
1824	nan	-0.04494	0.00000	-0.03000	-0.11630	-0.04586	-0.00496	nan	nan	nan
1825	nan	-0.03313	0.00000	-0.03000	-0.11597	-0.04472	-0.00429	nan	nan	nan
1826	nan	-0.02789	0.00000	-0.03000	-0.11637	-0.04364	-0.00395	nan	nan	nan
1827	nan	0.00279	0.00000	-0.03100	-0.11634	-0.04262	-0.00395	nan	nan	nan
1828	nan	0.01989	0.00000	-0.03100	-0.11631	-0.04185	-0.00429	nan	nan	nan
1829	nan	0.01067	0.00000	-0.03200	-0.11896	-0.04119	-0.00463	nan	nan	nan
1830	nan	0.02045	0.00000	-0.03200	-0.11997	-0.04065	-0.00564	nan	nan	nan
1831	nan	0.01988	-0.61520	-0.03200	-0.12081	-0.04024	-0.00700	nan	nan	nan
1832	nan	-0.00364	-0.49160	-0.03300	-0.12148	-0.03988	-0.00869	nan	nan	nan
1833	nan	-0.02251	-0.24200	-0.03300	-0.12120	-0.03946	-0.01107	nan	nan	nan
