Year	CO2	CH4	N2O	HCFC-22	CFC-113	CFC-11	HCFC-141b	CCl4	CFC-12	HCFC-142b	CH3CCl3	H-1211	H-1301	H-2402	HFC-134a	HFC-152a	HFC-143a	HFC-125	HFC-23	SF6
1979	336.80000	1577.60000	301.00000	38.60000	18.80000	158.90000	nan	92.60000	286.60000	0.30000	78.70000	0.39000	0.21000	0.10000	nan	nan	nan	nan	2.80000	0.75000
1980	338.90000	1594.70000	301.20000	42.40000	21.50000	167.90000	nan	94.00000	301.90000	0.30000	85.90000	0.48000	0.28000	0.11000	nan	nan	nan	nan	3.10000	0.85000
1981	340.10000	1611.90000	302.00000	46.20000	24.40000	176.00000	nan	94.90000	319.40000	0.30000	92.20000	0.58000	0.35000	0.13000	nan	nan	nan	nan	3.40000	0.96000
1982	340.90000	1629.20000	303.20000	50.00000	27.60000	184.10000	nan	95.90000	335.40000	0.40000	96.30000	0.70000	0.44000	0.15000	nan	nan	nan	nan	3.80000	1.06000
1983	342.50000	1636.80000	303.80000	54.20000	31.00000	193.10000	nan	97.30000	352.80000	0.40000	100.70000	0.83000	0.55000	0.17000	nan	nan	nan	nan	4.10000	1.19000
1984	344.10000	1644.50000	304.70000	58.50000	35.40000	201.50000	nan	98.80000	367.80000	0.50000	105.70000	0.98000	0.67000	0.19000	nan	nan	nan	nan	4.50000	1.31000
1985	345.50000	1657.10000	305.30000	62.90000	40.00000	213.00000	nan	99.90000	383.70000	0.50000	109.60000	1.15000	0.81000	0.21000	nan	nan	nan	nan	4.90000	1.46000
1986	347.00000	1670.20000	306.40000	67.40000	44.30000	223.10000	nan	101.10000	402.70000	0.60000	112.10000	1.35000	0.97000	0.23000	nan	nan	nan	nan	5.30000	1.61000
1987	348.70000	1682.70000	306.10000	72.40000	50.50000	233.90000	nan	102.40000	423.50000	0.80000	116.30000	1.59000	1.16000	0.25000	nan	nan	nan	nan	5.70000	1.78000
1988	351.20000	1693.10000	306.70000	78.20000	57.90000	244.80000	nan	103.50000	447.90000	1.00000	121.70000	1.87000	1.36000	0.28000	nan	nan	nan	nan	6.20000	1.95000
1989	352.80000	1704.60000	308.00000	84.30000	64.50000	253.50000	nan	104.50000	466.90000	1.20000	124.50000	2.16000	1.56000	0.30000	nan	nan	nan	nan	6.80000	2.14000
1990	354.00000	1714.60000	308.80000	90.40000	70.30000	259.50000	nan	105.60000	481.80000	1.70000	127.90000	2.45000	1.75000	0.33000	nan	nan	nan	nan	7.40000	2.33000
1991	355.40000	1724.90000	309.40000	96.70000	76.00000	264.00000	nan	105.70000	493.80000	2.40000	130.90000	2.71000	1.91000	0.35000	nan	nan	nan	nan	8.00000	2.54000
1992	356.10000	1735.50000	310.00000	101.90000	80.30000	266.90000	0.35000	107.70000	506.60000	3.20000	135.20000	2.89000	2.17000	0.36000	0.27000	0.42000	0.56000	0.14000	8.60000	2.75000
1993	356.80000	1736.70000	310.30000	105.60000	82.30000	268.10000	0.71000	106.80000	512.50000	4.40000	128.90000	3.06000	2.32000	0.39000	0.48000	0.50000	0.63000	0.17000	9.30000	2.98000
1994	358.30000	1742.10000	310.80000	111.40000	83.80000	268.00000	1.94000	105.80000	517.00000	5.70000	118.60000	3.29000	2.55000	0.43000	0.88000	0.59000	0.71000	0.19000	10.00000	3.20000
1995	360.20000	1749.00000	311.10000	116.20000	83.90000	266.30000	3.48000	105.00000	524.10000	6.60000	105.90000	3.45000	2.56000	0.46000	1.67000	0.69000	0.85000	0.26000	10.70000	3.47000
1996	362.00000	1751.40000	311.90000	121.50000	84.00000	265.20000	5.41000	104.00000	530.00000	7.70000	92.40000	3.61000	2.62000	0.47000	3.04000	0.82000	1.06000	0.39000	11.40000	3.71000
1997	363.00000	1754.60000	312.70000	126.10000	83.50000	264.10000	7.36000	103.00000	533.90000	8.70000	78.70000	3.77000	2.63000	0.47000	5.19000	0.96000	1.35000	0.56000	12.00000	3.94000
1998	365.70000	1765.70000	313.60000	131.40000	82.90000	262.60000	9.07000	102.20000	536.70000	9.60000	65.90000	3.89000	2.70000	0.48000	7.64000	1.13000	1.69000	0.78000	12.60000	4.15000
1999	367.80000	1772.50000	314.60000	136.70000	82.50000	261.10000	10.91000	101.10000	539.50000	10.70000	54.90000	4.01000	2.78000	0.49000	10.64000	1.34000	2.07000	1.07000	13.30000	4.37000
2000	369.00000	1773.10000	315.60000	141.50000	82.00000	259.40000	12.62000	99.80000	541.70000	11.70000	45.80000	4.11000	2.81000	0.49000	13.94000	1.57000	2.48000	1.41000	13.90000	4.58000
2001	370.60000	1771.10000	316.30000	147.40000	81.50000	257.70000	14.10000	98.70000	542.50000	12.60000	38.00000	4.18000	2.80000	0.49000	17.48000	1.82000	2.91000	1.80000	14.60000	4.78000
2002	372.60000	1772.80000	317.00000	152.90000	80.90000	255.80000	15.45000	97.60000	543.20000	13.30000	31.70000	4.24000	2.82000	0.49000	21.35000	2.18000	3.42000	2.24000	15.30000	4.99000
2003	375.10000	1777.30000	317.70000	157.90000	80.20000	253.40000	16.58000	96.50000	542.70000	14.00000	26.50000	4.27000	2.85000	0.49000	25.50000	2.59000	4.04000	2.75000	16.00000	5.22000
2004	377.00000	1777.20000	318.30000	162.10000	79.40000	251.30000	17.19000	95.50000	542.30000	14.50000	22.00000	4.30000	2.99000	0.48000	29.65000	3.00000	4.76000	3.29000	16.70000	5.45000
2005	379.00000	1774.10000	319.00000	168.20000	78.80000	249.30000	17.56000	94.50000	541.50000	15.20000	18.40000	4.31000	3.02000	0.48000	34.41000	3.63000	5.59000	3.86000	17.50000	5.67000
2006	381.10000	1774.80000	320.00000	174.80000	78.20000	247.20000	18.09000	93.30000	540.00000	16.10000	15.40000	4.30000	3.05000	0.48000	38.82000	4.23000	6.53000	4.49000	18.40000	5.91000
2007	382.90000	1781.30000	320.60000	182.80000	77.30000	245.00000	18.75000	92.10000	537.70000	17.30000	12.90000	4.26000	3.08000	0.47000	43.24000	4.93000	7.51000	5.43000	19.70000	6.18000
2008	385.00000	1787.20000	321.50000	190.80000	76.50000	242.90000	19.26000	90.70000	535.40000	18.50000	10.80000	4.20000	3.12000	0.47000	47.60000	5.57000	8.65000	6.45000	20.80000	6.47000
2009	386.50000	1793.60000	322.20000	198.40000	75.90000	241.10000	19.84000	89.30000	532.90000	19.40000	9.10000	4.13000	3.13000	0.46000	52.24000	5.84000	9.80000	7.55000	22.40000	6.75000
2010	388.70000	1798.90000	323.10000	205.80000	75.30000	239.30000	20.41000	88.30000	529.40000	20.10000	7.60000	4.07000	3.17000	0.46000	57.28000	6.04000	10.85000	8.75000	23.60000	7.04000
2011	390.60000	1803.10000	324.10000	212.60000	74.60000	237.20000	21.33000	87.00000	526.70000	20.90000	6.30000	4.00000	3.18000	0.45000	62.65000	6.47000	12.05000	10.24000	24.10000	7.32000
2012	392.70000	1808.10000	325.00000	218.00000	73.90000	235.20000	22.27000	85.90000	524.00000	21.40000	5.30000	3.92000	3.21000	0.45000	67.51000	6.65000	13.34000	11.85000	25.00000	7.61000
2013	395.40000	1813.20000	325.90000	223.60000	73.20000	233.50000	23.24000	84.80000	520.70000	21.80000	4.40000	3.81000	3.25000	0.44000	72.47000	6.65000	14.67000	13.73000	26.00000	7.92000
2014	397.30000	1822.50000	327.00000	228.70000	72.60000	232.10000	23.79000	83.60000	517.80000	21.90000	3.70000	3.71000	3.26000	0.43000	77.71000	6.46000	16.01000	15.66000	27.00000	8.26000
2015	399.60000	1834.10000	328.10000	233.00000	72.00000	230.90000	24.22000	82.40000	514.80000	21.80000	3.10000	3.61000	3.27000	0.43000	83.35000	6.57000	17.58000	17.87000	28.20000	8.59000
2016	403.10000	1843.20000	328.90000	237.40000	71.50000	230.00000	24.53000	81.20000	511.90000	22.00000	2.60000	3.51000	3.27000	0.42000	89.51000	6.61000	19.09000	20.24000	29.30000	8.92000
2017	405.20000	1849.70000	329.80000	240.80000	70.90000	229.00000	24.50000	80.20000	508.40000	22.10000	2.20000	3.41000	3.26000	0.41000	95.74000	6.77000	20.70000	22.98000	30.50000	9.26000
2018	407.60000	1857.30000	330.90000	244.10000	70.30000	228.20000	24.37000	79.20000	505.60000	22.00000	1.90000	3.31000	3.27000	0.41000	101.96000	6.94000	22.24000	25.92000	31.60000	9.60000
2019	410.10000	1866.50000	331.90000	246.80000	69.60000	226.40000	24.38000	78.30000	501.40000	22.00000	1.60000	3.22000	3.28000	0.40000	107.77000	7.12000	23.82000	29.09000	32.80000	9.96000
2020	412.50000	1879.30000	333.10000	247.80000	69.00000	224.00000	24.50000	77.50000	497.20000	21.70000	1.40000	3.11000	3.27000	0.40000	113.08000	6.99000	25.30000	32.06000	34.00000	10.28000
