Date	Data	Err-	Err+
1850-01-01	-0.7337	0.1515	0.1515
1850-02-01	-0.3604	0.1790	0.1790
1850-03-01	-0.6271	0.1664	0.1664
1850-04-01	-0.6053	0.1423	0.1423
1850-05-01	-0.5315	0.1230	0.1230
1850-06-01	-0.3517	0.1302	0.1302
1850-07-01	-0.1755	0.1183	0.1183
1850-08-01	-0.2235	0.1258	0.1258
1850-09-01	-0.3938	0.1297	0.1297
1850-10-01	-0.5162	0.1240	0.1240
1850-11-01	-0.2765	0.1296	0.1296
1850-12-01	-0.3224	0.1396	0.1396
1851-01-01	-0.2656	0.1492	0.1492
1851-02-01	-0.4673	0.1606	0.1606
1851-03-01	-0.6410	0.1472	0.1472
1851-04-01	-0.5283	0.1392	0.1392
1851-05-01	-0.2218	0.1322	0.1322
1851-06-01	-0.2073	0.1364	0.1364
1851-07-01	-0.1364	0.1187	0.1187
1851-08-01	-0.1476	0.1278	0.1278
1851-09-01	-0.1460	0.1343	0.1343
1851-10-01	-0.0453	0.1309	0.1309
1851-11-01	-0.1077	0.1497	0.1497
1851-12-01	-0.2479	0.1569	0.1569
1852-01-01	-0.3459	0.1510	0.1510
1852-02-01	-0.4964	0.1667	0.1667
1852-03-01	-0.5669	0.1515	0.1515
1852-04-01	-0.5746	0.1325	0.1325
1852-05-01	-0.1126	0.1254	0.1254
1852-06-01	-0.0772	0.1249	0.1249
1852-07-01	0.0090	0.1151	0.1151
1852-08-01	-0.1490	0.1224	0.1224
1852-09-01	-0.0064	0.1253	0.1253
1852-10-01	-0.1576	0.1135	0.1135
1852-11-01	-0.2752	0.1309	0.1309
1852-12-01	0.0643	0.1369	0.1369
1853-01-01	-0.2042	0.1443	0.1443
1853-02-01	-0.3986	0.1514	0.1514
1853-03-01	-0.2726	0.1452	0.1452
1853-04-01	-0.4011	0.1338	0.1338
1853-05-01	-0.2701	0.1175	0.1175
1853-06-01	-0.1243	0.1223	0.1223
1853-07-01	-0.0719	0.1054	0.1054
1853-08-01	-0.0398	0.1170	0.1170
1853-09-01	-0.2664	0.1102	0.1102
1853-10-01	-0.3728	0.1082	0.1082
1853-11-01	-0.4008	0.1312	0.1312
1853-12-01	-0.3256	0.1482	0.1482
1854-01-01	-0.4025	0.1246	0.1246
1854-02-01	-0.3916	0.1393	0.1393
1854-03-01	-0.2471	0.1368	0.1368
1854-04-01	-0.3270	0.1096	0.1096
1854-05-01	-0.2774	0.1006	0.1006
1854-06-01	-0.3021	0.1141	0.1141
1854-07-01	-0.1619	0.1032	0.1032
1854-08-01	-0.2326	0.1038	0.1038
1854-09-01	-0.2158	0.1042	0.1042
1854-10-01	-0.0993	0.0880	0.0880
1854-11-01	-0.4121	0.1328	0.1328
1854-12-01	-0.4537	0.1355	0.1355
1855-01-01	-0.1703	0.1269	0.1269
1855-02-01	-0.3129	0.1373	0.1373
1855-03-01	-0.3449	0.1391	0.1391
1855-04-01	-0.2106	0.1092	0.1092
1855-05-01	-0.3684	0.1025	0.1025
1855-06-01	-0.3330	0.1097	0.1097
1855-07-01	-0.3146	0.0983	0.0983
1855-08-01	-0.2018	0.1055	0.1055
1855-09-01	-0.2586	0.0936	0.0936
1855-10-01	-0.2000	0.1002	0.1002
1855-11-01	-0.3738	0.1237	0.1237
1855-12-01	-0.4077	0.1278	0.1278
1856-01-01	-0.0828	0.1169	0.1169
1856-02-01	-0.3472	0.1310	0.1310
1856-03-01	-0.3712	0.1338	0.1338
1856-04-01	-0.3145	0.1026	0.1026
1856-05-01	-0.2925	0.1029	0.1029
1856-06-01	-0.2252	0.1109	0.1109
1856-07-01	-0.2229	0.1010	0.1010
1856-08-01	-0.2486	0.1087	0.1087
1856-09-01	-0.4018	0.1051	0.1051
1856-10-01	-0.4460	0.0996	0.0996
1856-11-01	-0.5613	0.1272	0.1272
1856-12-01	-0.4231	0.1370	0.1370
1857-01-01	-0.4943	0.1126	0.1126
1857-02-01	-0.4419	0.1313	0.1313
1857-03-01	-0.4883	0.1408	0.1408
1857-04-01	-0.6748	0.1193	0.1193
1857-05-01	-0.6539	0.1039	0.1039
1857-06-01	-0.2912	0.1114	0.1114
1857-07-01	-0.4041	0.1038	0.1038
1857-08-01	-0.3556	0.1133	0.1133
1857-09-01	-0.3683	0.1038	0.1038
1857-10-01	-0.4670	0.1058	0.1058
1857-11-01	-0.6621	0.1288	0.1288
1857-12-01	-0.2888	0.1326	0.1326
1858-01-01	-0.3361	0.1275	0.1275
1858-02-01	-0.4876	0.1394	0.1394
1858-03-01	-0.5661	0.1456	0.1456
1858-04-01	-0.4297	0.1164	0.1164
1858-05-01	-0.5225	0.1063	0.1063
1858-06-01	-0.3600	0.1173	0.1173
1858-07-01	-0.3405	0.1089	0.1089
1858-08-01	-0.2875	0.1090	0.1090
1858-09-01	-0.2801	0.1054	0.1054
1858-10-01	-0.2918	0.1024	0.1024
1858-11-01	-0.4044	0.1335	0.1335
1858-12-01	-0.4546	0.1369	0.1369
1859-01-01	-0.4054	0.1170	0.1170
1859-02-01	-0.3508	0.1230	0.1230
1859-03-01	-0.3224	0.1353	0.1353
1859-04-01	-0.1890	0.1095	0.1095
1859-05-01	-0.1699	0.1021	0.1021
1859-06-01	-0.2401	0.1109	0.1109
1859-07-01	-0.2905	0.0912	0.0912
1859-08-01	-0.2664	0.1103	0.1103
1859-09-01	-0.4007	0.1030	0.1030
1859-10-01	-0.2471	0.1064	0.1064
1859-11-01	-0.3101	0.1261	0.1261
1859-12-01	-0.3114	0.1392	0.1392
1860-01-01	-0.3904	0.1319	0.1319
1860-02-01	-0.4784	0.1596	0.1596
1860-03-01	-0.7893	0.1709	0.1709
1860-04-01	-0.3096	0.1147	0.1147
1860-05-01	-0.3711	0.1077	0.1077
1860-06-01	-0.2128	0.1211	0.1211
1860-07-01	-0.2110	0.1108	0.1108
1860-08-01	-0.1366	0.1301	0.1301
1860-09-01	-0.1765	0.1147	0.1147
1860-10-01	-0.3911	0.1053	0.1053
1860-11-01	-0.6222	0.1209	0.1209
1860-12-01	-0.7965	0.1309	0.1309
1861-01-01	-0.9052	0.1425	0.1425
1861-02-01	-0.6805	0.1850	0.1850
1861-03-01	-0.4216	0.2028	0.2028
1861-04-01	-0.3964	0.1637	0.1637
1861-05-01	-0.6967	0.1595	0.1595
1861-06-01	-0.2724	0.1429	0.1429
1861-07-01	-0.3490	0.1265	0.1265
1861-08-01	-0.0976	0.1270	0.1270
1861-09-01	-0.3337	0.1209	0.1209
1861-10-01	-0.5158	0.0991	0.0991
1861-11-01	-0.4877	0.1207	0.1207
1861-12-01	-0.4078	0.1555	0.1555
1862-01-01	-0.8303	0.1542	0.1542
1862-02-01	-0.7971	0.1913	0.1913
1862-03-01	-0.5376	0.2009	0.2009
1862-04-01	-0.5328	0.1508	0.1508
1862-05-01	-0.3448	0.1448	0.1448
1862-06-01	-0.2752	0.1245	0.1245
1862-07-01	-0.3561	0.1224	0.1224
1862-08-01	-0.5005	0.1329	0.1329
1862-09-01	-0.3993	0.1135	0.1135
1862-10-01	-0.5010	0.1068	0.1068
1862-11-01	-0.6849	0.1278	0.1278
1862-12-01	-0.8983	0.1501	0.1501
1863-01-01	-0.0872	0.1550	0.1550
1863-02-01	-0.2836	0.2076	0.2076
1863-03-01	-0.4144	0.1789	0.1789
1863-04-01	-0.3359	0.1561	0.1561
1863-05-01	-0.3909	0.1406	0.1406
1863-06-01	-0.4184	0.1342	0.1342
1863-07-01	-0.3569	0.1417	0.1417
1863-08-01	-0.3350	0.1399	0.1399
1863-09-01	-0.4046	0.1353	0.1353
1863-10-01	-0.5606	0.1201	0.1201
1863-11-01	-0.5001	0.1252	0.1252
1863-12-01	-0.5064	0.1576	0.1576
1864-01-01	-0.8249	0.1732	0.1732
1864-02-01	-0.6053	0.2155	0.2155
1864-03-01	-0.5314	0.1943	0.1943
1864-04-01	-0.5567	0.1643	0.1643
1864-05-01	-0.3460	0.1506	0.1506
1864-06-01	-0.1159	0.1362	0.1362
1864-07-01	-0.2875	0.1362	0.1362
1864-08-01	-0.3439	0.1367	0.1367
1864-09-01	-0.5260	0.1286	0.1286
1864-10-01	-0.6723	0.1135	0.1135
1864-11-01	-0.4921	0.1257	0.1257
1864-12-01	-0.6274	0.1550	0.1550
