Year	Data
1750	0.000
1751	-0.000
1752	-0.001
1753	-0.001
1754	-0.002
1755	-0.002
1756	-0.002
1757	-0.003
1758	-0.003
1759	-0.004
1760	-0.004
1761	-0.004
1762	-0.005
1763	-0.005
1764	-0.006
1765	-0.006
1766	-0.006
1767	-0.007
1768	-0.007
1769	-0.008
1770	-0.008
1771	-0.008
1772	-0.009
1773	-0.009
1774	-0.010
1775	-0.010
1776	-0.010
1777	-0.011
1778	-0.011
1779	-0.012
1780	-0.012
1781	-0.012
1782	-0.013
1783	-0.013
1784	-0.014
1785	-0.014
1786	-0.014
1787	-0.015
1788	-0.015
1789	-0.016
1790	-0.016
1791	-0.016
1792	-0.017
1793	-0.017
1794	-0.018
1795	-0.018
1796	-0.018
1797	-0.019
1798	-0.019
1799	-0.020
1800	-0.020
1801	-0.020
1802	-0.021
1803	-0.021
1804	-0.022
1805	-0.022
1806	-0.022
1807	-0.023
1808	-0.023
1809	-0.024
1810	-0.024
1811	-0.024
1812	-0.025
1813	-0.025
1814	-0.026
1815	-0.026
1816	-0.026
1817	-0.027
1818	-0.027
1819	-0.028
1820	-0.028
1821	-0.028
1822	-0.029
1823	-0.029
1824	-0.030
1825	-0.030
1826	-0.030
1827	-0.031
1828	-0.031
1829	-0.032
1830	-0.032
1831	-0.032
1832	-0.033
1833	-0.033
1834	-0.034
1835	-0.034
1836	-0.034
1837	-0.035
1838	-0.035
1839	-0.036
1840	-0.036
1841	-0.036
1842	-0.037
1843	-0.037
1844	-0.038
1845	-0.038
1846	-0.038
1847	-0.039
1848	-0.039
1849	-0.040
1850	-0.040
1851	-0.040
1852	-0.041
1853	-0.041
1854	-0.041
1855	-0.042
1856	-0.042
1857	-0.042
1858	-0.043
1859	-0.043
1860	-0.043
1861	-0.044
1862	-0.044
1863	-0.044
1864	-0.045
1865	-0.045
1866	-0.045
1867	-0.046
1868	-0.046
1869	-0.046
1870	-0.047
1871	-0.047
1872	-0.047
1873	-0.048
1874	-0.048
1875	-0.049
1876	-0.049
1877	-0.049
1878	-0.050
1879	-0.050
1880	-0.050
1881	-0.051
1882	-0.051
1883	-0.052
1884	-0.052
1885	-0.053
1886	-0.053
1887	-0.053
1888	-0.054
1889	-0.054
1890	-0.055
1891	-0.055
1892	-0.056
1893	-0.056
1894	-0.057
1895	-0.057
1896	-0.058
1897	-0.058
1898	-0.059
1899	-0.059
1900	-0.060
1901	-0.061
1902	-0.061
1903	-0.062
1904	-0.062
1905	-0.063
1906	-0.063
1907	-0.064
1908	-0.064
1909	-0.065
1910	-0.065
1911	-0.066
1912	-0.066
1913	-0.067
1914	-0.068
1915	-0.068
1916	-0.069
1917	-0.069
1918	-0.070
1919	-0.071
1920	-0.071
1921	-0.072
1922	-0.073
1923	-0.073
1924	-0.074
1925	-0.075
1926	-0.076
1927	-0.076
1928	-0.077
1929	-0.078
1930	-0.079
1931	-0.080
1932	-0.081
1933	-0.081
1934	-0.082
1935	-0.083
1936	-0.084
1937	-0.085
1938	-0.086
1939	-0.087
1940	-0.088
1941	-0.089
1942	-0.090
1943	-0.092
1944	-0.093
1945	-0.094
1946	-0.095
1947	-0.096
1948	-0.097
1949	-0.099
1950	-0.100
1951	-0.102
1952	-0.103
1953	-0.105
1954	-0.106
1955	-0.108
1956	-0.109
1957	-0.111
1958	-0.112
1959	-0.114
1960	-0.116
1961	-0.117
1962	-0.119
1963	-0.120
1964	-0.122
1965	-0.123
1966	-0.125
1967	-0.126
1968	-0.127
1969	-0.129
1970	-0.130
1971	-0.131
1972	-0.132
1973	-0.134
1974	-0.135
1975	-0.136
1976	-0.137
1977	-0.138
1978	-0.138
1979	-0.139
1980	-0.140
1981	-0.141
1982	-0.141
1983	-0.142
1984	-0.143
1985	-0.143
1986	-0.144
1987	-0.144
1988	-0.145
1989	-0.145
1990	-0.146
1991	-0.146
1992	-0.146
1993	-0.147
1994	-0.147
1995	-0.147
1996	-0.148
1997	-0.148
1998	-0.148
1999	-0.148
2000	-0.149
2001	-0.149
2002	-0.149
2003	-0.149
2004	-0.149
2005	-0.149
2006	-0.150
2007	-0.150
2008	-0.150
2009	-0.150
2010	-0.150
2011	-0.150
2012	-0.150
2013	-0.150
2014	-0.150
2015	-0.150
2016	-0.150
2017	-0.150
2018	-0.150
2019	-0.150
