Date	Data
1979-01-01	0.4700
1979-02-01	0.2600
1979-03-01	-0.0800
1979-04-01	0.2000
1979-05-01	0.2700
1979-06-01	-0.1500
1979-07-01	-0.1400
1979-08-01	0.4400
1979-09-01	0.3800
1979-10-01	0.2400
1979-11-01	0.5200
1979-12-01	0.6500
1980-01-01	0.3500
1980-02-01	0.1900
1980-03-01	0.4100
1980-04-01	0.5900
1980-05-01	0.5500
1980-06-01	0.6200
1980-07-01	0.6200
1980-08-01	0.1500
1980-09-01	0.2000
1980-10-01	0.0900
1980-11-01	-0.0300
1980-12-01	-0.0600
1981-01-01	-0.3300
1981-02-01	-0.2400
1981-03-01	0.3300
1981-04-01	0.4000
1981-05-01	-0.2700
1981-06-01	-0.6000
1981-07-01	-0.5100
1981-08-01	-0.3100
1981-09-01	-0.0100
1981-10-01	-0.1000
1981-11-01	-0.2200
1981-12-01	-0.1600
1982-01-01	-0.3900
1982-02-01	-0.4700
1982-03-01	-0.2800
1982-04-01	-0.3400
1982-05-01	-0.0300
1982-06-01	0.7800
1982-07-01	1.7900
1982-08-01	2.0200
1982-09-01	1.8200
1982-10-01	1.9300
1982-11-01	2.2800
1982-12-01	2.4800
1983-01-01	2.5700
1983-02-01	2.7400
1983-03-01	2.6800
1983-04-01	2.7900
1983-05-01	2.8900
1983-06-01	2.0200
1983-07-01	0.7500
1983-08-01	-0.1100
1983-09-01	-0.4100
1983-10-01	-0.4300
1983-11-01	-0.4300
1983-12-01	-0.4300
1984-01-01	-0.5000
1984-02-01	-0.5200
1984-03-01	-0.1100
1984-04-01	0.0800
1984-05-01	-0.4700
1984-06-01	-0.7200
1984-07-01	-0.3100
1984-08-01	-0.1500
1984-09-01	-0.1100
1984-10-01	-0.1500
1984-11-01	-0.5800
1984-12-01	-0.3100
1985-01-01	-0.2500
1985-02-01	-0.5800
1985-03-01	-0.6000
1985-04-01	-0.7600
1985-05-01	-1.2200
1985-06-01	-0.5700
1985-07-01	-0.0200
1985-08-01	-0.3700
1985-09-01	-0.4400
1985-10-01	-0.0400
1985-11-01	0.0000
1985-12-01	-0.3400
1986-01-01	-0.3600
1986-02-01	-0.3000
1986-03-01	-0.3900
1986-04-01	-0.5300
1986-05-01	-0.1800
1986-06-01	0.1200
1986-07-01	0.5600
1986-08-01	1.0500
1986-09-01	1.3100
1986-10-01	0.5700
1986-11-01	0.6500
1986-12-01	1.0600
1987-01-01	0.9800
1987-02-01	1.0800
1987-03-01	1.4700
1987-04-01	1.6600
1987-05-01	1.9100
1987-06-01	2.0200
1987-07-01	1.9200
1987-08-01	1.4800
1987-09-01	1.2300
1987-10-01	1.1300
1987-11-01	0.8500
1987-12-01	0.7500
1988-01-01	0.5900
1988-02-01	0.3100
1988-03-01	0.1900
1988-04-01	-0.0100
1988-05-01	-0.3600
1988-06-01	-1.1900
1988-07-01	-1.7700
1988-08-01	-1.7900
1988-09-01	-1.7800
1988-10-01	-1.5400
1988-11-01	-1.6100
1988-12-01	-1.4900
1989-01-01	-1.0900
1989-02-01	-1.0600
1989-03-01	-1.2000
1989-04-01	-1.0900
1989-05-01	-1.0400
1989-06-01	-1.0200
1989-07-01	-1.1200
1989-08-01	-0.7300
1989-09-01	-0.6100
1989-10-01	-0.5600
1989-11-01	-0.3300
1989-12-01	-0.0200
1990-01-01	0.1100
1990-02-01	0.4300
1990-03-01	0.6100
1990-04-01	0.1700
1990-05-01	0.0300
1990-06-01	0.0400
1990-07-01	0.1700
1990-08-01	0.0600
1990-09-01	0.2100
1990-10-01	-0.0500
1990-11-01	0.1200
1990-12-01	0.2800
1991-01-01	0.1600
1991-02-01	0.0800
1991-03-01	0.2100
1991-04-01	0.2100
1991-05-01	0.3500
1991-06-01	0.8900
1991-07-01	0.8800
1991-08-01	0.4200
1991-09-01	0.6200
1991-10-01	1.0900
1991-11-01	1.1700
1991-12-01	1.2900
1992-01-01	1.7000
1992-02-01	1.5900
1992-03-01	1.7200
1992-04-01	1.9800
1992-05-01	1.6900
1992-06-01	1.5800
1992-07-01	0.7600
1992-08-01	0.0800
1992-09-01	0.5000
1992-10-01	0.8100
1992-11-01	0.7300
1992-12-01	0.7800
1993-01-01	0.8300
1993-02-01	0.9300
1993-03-01	0.7800
1993-04-01	0.9800
1993-05-01	1.4800
1993-06-01	1.5000
1993-07-01	0.9000
1993-08-01	0.6200
1993-09-01	0.6400
1993-10-01	0.9500
1993-11-01	0.7000
1993-12-01	0.2600
1994-01-01	0.0200
1994-02-01	-0.1700
1994-03-01	-0.2100
1994-04-01	0.0300
1994-05-01	0.0000
1994-06-01	0.2500
1994-07-01	0.8800
1994-08-01	0.8400
1994-09-01	1.0600
1994-10-01	1.4700
1994-11-01	0.9900
1994-12-01	0.8700
1995-01-01	0.7700
1995-02-01	0.4800
1995-03-01	0.1400
1995-04-01	0.1800
1995-05-01	0.1600
1995-06-01	-0.0000
1995-07-01	-0.2500
1995-08-01	-0.6500
1995-09-01	-0.8600
1995-10-01	-0.6500
1995-11-01	-0.6700
1995-12-01	-0.8200
1996-01-01	-0.8300
1996-02-01	-0.8100
1996-03-01	-0.6400
1996-04-01	-0.6900
1996-05-01	-0.8300
1996-06-01	-0.9000
1996-07-01	-0.7600
1996-08-01	-0.6000
1996-09-01	-0.2600
1996-10-01	-0.3100
1996-11-01	-0.3000
1996-12-01	-0.4600
1997-01-01	-0.6600
1997-02-01	-0.7200
1997-03-01	-0.2900
1997-04-01	0.1700
1997-05-01	0.6900
1997-06-01	2.2500
1997-07-01	2.1100
1997-08-01	2.2000
1997-09-01	2.1700
1997-10-01	2.0100
1997-11-01	2.0600
1997-12-01	2.0400
1998-01-01	2.2300
1998-02-01	2.4300
1998-03-01	2.2700
1998-04-01	2.5500
1998-05-01	2.2600
1998-06-01	0.3700
1998-07-01	-1.4300
1998-08-01	-1.7400
1998-09-01	-1.3100
1998-10-01	-1.2100
1998-11-01	-1.3000
1998-12-01	-1.2500
1999-01-01	-1.2600
1999-02-01	-1.1800
1999-03-01	-1.1100
1999-04-01	-1.1600
1999-05-01	-1.3600
1999-06-01	-1.2600
1999-07-01	-1.1800
1999-08-01	-1.0700
1999-09-01	-1.1700
1999-10-01	-1.3100
1999-11-01	-1.3300
1999-12-01	-1.4300
2000-01-01	-1.2600
2000-02-01	-1.2700
2000-03-01	-1.3600
2000-04-01	-0.9300
2000-05-01	-0.9700
2000-06-01	-1.1400
2000-07-01	-0.5800
2000-08-01	-0.0800
2000-09-01	-0.3600
2000-10-01	-0.5500
2000-11-01	-0.9100
2000-12-01	-0.8000
2001-01-01	-0.8200
2001-02-01	-0.8700
2001-03-01	-0.7900
2001-04-01	-0.6100
2001-05-01	-0.5800
2001-06-01	-0.7100
2001-07-01	-0.0100
2001-08-01	0.3400
2001-09-01	-0.0700
2001-10-01	-0.2500
2001-11-01	-0.3200
2001-12-01	0.0200
2002-01-01	0.0700
2002-02-01	-0.2600
2002-03-01	-0.2000
2002-04-01	-0.3600
2002-05-01	-0.1000
2002-06-01	0.4000
2002-07-01	0.4200
2002-08-01	0.9700
2002-09-01	0.8400
2002-10-01	0.7900
2002-11-01	0.7600
2002-12-01	0.8600
2003-01-01	0.8000
2003-02-01	0.6200
2003-03-01	0.5300
2003-04-01	-0.0800
2003-05-01	-0.5700
2003-06-01	-0.0700
2003-07-01	0.0000
2003-08-01	0.0200
2003-09-01	0.1400
2003-10-01	0.2600
2003-11-01	0.2900
2003-12-01	0.1000
2004-01-01	0.1600
2004-02-01	-0.0400
2004-03-01	-0.4400
2004-04-01	-0.2300
2004-05-01	-0.4400
2004-06-01	-0.3400
2004-07-01	0.4300
2004-08-01	0.7400
2004-09-01	0.5400
2004-10-01	0.3400
2004-11-01	0.5100
2004-12-01	0.5100
2005-01-01	0.0800
2005-02-01	0.6000
2005-03-01	0.8200
2005-04-01	0.1300
2005-05-01	0.1800
2005-06-01	0.2000
2005-07-01	-0.0200
2005-08-01	-0.0100
2005-09-01	-0.0500
2005-10-01	-0.7100
2005-11-01	-0.7500
2005-12-01	-0.7300
2006-01-01	-0.6800
2006-02-01	-0.5000
2006-03-01	-0.6200
2006-04-01	-0.8400
2006-05-01	-0.4300
2006-06-01	-0.2300
2006-07-01	0.1100
2006-08-01	0.5600
2006-09-01	0.6300
2006-10-01	0.6800
2006-11-01	0.9000
2006-12-01	0.5900
2007-01-01	0.6200
2007-02-01	0.3900
2007-03-01	-0.2200
2007-04-01	-0.3600
2007-05-01	-0.4400
2007-06-01	-0.8600
2007-07-01	-0.7700
2007-08-01	-0.9400
2007-09-01	-1.1000
