Date	Data
1854-01-01	0.1100
1854-02-01	-0.2400
1854-03-01	-0.4000
1854-04-01	-0.4400
1854-05-01	-0.5400
1854-06-01	-0.3000
1854-07-01	-0.1000
1854-08-01	-1.2400
1854-09-01	-1.0000
1854-10-01	-2.2300
1854-11-01	-1.6800
1854-12-01	-1.7600
1855-01-01	-0.2000
1855-02-01	-0.3900
1855-03-01	-0.2400
1855-04-01	-0.5800
1855-05-01	-1.3400
1855-06-01	-1.8800
1855-07-01	-1.1300
1855-08-01	-0.4800
1855-09-01	-0.7600
1855-10-01	-0.6300
1855-11-01	-0.4100
1855-12-01	-0.8800
1856-01-01	-0.3900
1856-02-01	0.4700
1856-03-01	0.4200
1856-04-01	-0.9600
1856-05-01	-1.2600
1856-06-01	-2.1500
1856-07-01	-0.6900
1856-08-01	0.6300
1856-09-01	0.5800
1856-10-01	0.5900
1856-11-01	0.2300
1856-12-01	0.0400
1857-01-01	-0.5200
1857-02-01	-1.6700
1857-03-01	-1.0500
1857-04-01	-0.8100
1857-05-01	-0.6500
1857-06-01	1.0300
1857-07-01	1.1700
1857-08-01	0.8100
1857-09-01	0.8400
1857-10-01	0.7000
1857-11-01	0.3800
1857-12-01	-0.5500
1858-01-01	-0.9600
1858-02-01	-1.5300
1858-03-01	-1.7600
1858-04-01	-0.8200
1858-05-01	0.4900
1858-06-01	2.1900
1858-07-01	1.0500
1858-08-01	0.6700
1858-09-01	1.3800
1858-10-01	2.3500
1858-11-01	0.4600
1858-12-01	-1.1600
1859-01-01	-1.2200
1859-02-01	-1.7100
1859-03-01	-2.4600
1859-04-01	-3.6500
1859-05-01	-2.8600
1859-06-01	-1.9900
1859-07-01	-1.0100
1859-08-01	-1.2600
1859-09-01	-1.1900
1859-10-01	-1.3100
1859-11-01	-1.1400
1859-12-01	-1.1200
1860-01-01	-1.3100
1860-02-01	-1.2800
1860-03-01	-1.3400
1860-04-01	-0.7700
1860-05-01	-0.8500
1860-06-01	-1.2600
1860-07-01	-0.2700
1860-08-01	-0.4000
1860-09-01	0.3300
1860-10-01	-1.7000
1860-11-01	-1.1800
1860-12-01	-1.4200
1861-01-01	-0.5700
1861-02-01	-0.8400
1861-03-01	-0.8600
1861-04-01	-0.8300
1861-05-01	-0.3700
1861-06-01	-0.3500
1861-07-01	-0.6100
1861-08-01	-0.8000
1861-09-01	-1.2000
1861-10-01	-1.5800
1861-11-01	-1.8000
1861-12-01	-1.6500
1862-01-01	-0.4100
1862-02-01	-0.1300
1862-03-01	0.1600
1862-04-01	0.0700
1862-05-01	0.0900
1862-06-01	-0.0800
1862-07-01	-0.1200
1862-08-01	-0.2000
1862-09-01	-0.9800
1862-10-01	-0.8000
1862-11-01	-0.3900
1862-12-01	0.0700
1863-01-01	-0.0600
1863-02-01	-0.3400
1863-03-01	-0.3700
1863-04-01	-0.1800
1863-05-01	0.0300
1863-06-01	-0.0300
1863-07-01	0.0700
1863-08-01	-0.2600
1863-09-01	0.0500
1863-10-01	0.0700
1863-11-01	0.1100
1863-12-01	-0.2300
