	Data
1860	-0.02395
1861	-0.02464
1862	-0.02534
1863	-0.02603
1864	-0.02672
1865	-0.02742
1866	-0.02811
1867	-0.02881
1868	-0.02950
1869	-0.03019
1870	-0.03089
1871	-0.03158
1872	-0.03228
1873	-0.03297
1874	-0.03366
1875	-0.03436
1876	-0.03505
1877	-0.03575
1878	-0.03663
1879	-0.03828
1880	-0.03993
1881	-0.04133
1882	-0.04263
1883	-0.04393
1884	-0.04524
1885	-0.04654
1886	-0.04784
1887	-0.04915
1888	-0.05045
1889	-0.05175
1890	-0.05305
1891	-0.05436
1892	-0.05566
1893	-0.05744
1894	-0.06086
1895	-0.06429
1896	-0.06771
1897	-0.07114
1898	-0.07462
1899	-0.07818
1900	-0.08192
1901	-0.08655
1902	-0.09117
1903	-0.09580
1904	-0.10042
1905	-0.10505
1906	-0.10973
1907	-0.12130
1908	-0.12625
1909	-0.13087
1910	-0.13571
1911	-0.14106
1912	-0.14651
1913	-0.15806
1914	-0.14245
1915	-0.14534
1916	-0.15869
1917	-0.16667
1918	-0.15897
1919	-0.13541
1920	-0.14833
1921	-0.12650
1922	-0.14465
1923	-0.16083
1924	-0.17971
1925	-0.18879
1926	-0.19335
1927	-0.21587
1928	-0.22807
1929	-0.24128
1930	-0.23430
1931	-0.20964
1932	-0.18498
1933	-0.19554
1934	-0.21766
1935	-0.23977
1936	-0.26189
1937	-0.28472
1938	-0.27495
1939	-0.29181
1940	-0.31704
1941	-0.32708
1942	-0.33388
1943	-0.34068
1944	-0.31226
1945	-0.27652
1946	-0.27285
1947	-0.30227
1948	-0.32990
1949	-0.33410
1950	-0.36494
1951	-0.39578
1952	-0.40927
1953	-0.41465
1954	-0.41885
1955	-0.45319
1956	-0.49077
1957	-0.52551
1958	-0.53003
1959	-0.55946
1960	-0.59614
1961	-0.70473
1962	-0.71792
1963	-0.75349
1964	-0.78906
1965	-0.81195
1966	-0.83042
1967	-0.82712
1968	-0.85569
1969	-0.88933
1970	-0.94447
1971	-0.93677
1972	-0.96710
1973	-1.00002
1974	-0.98980
1975	-0.97842
1976	-1.02191
1977	-1.01614
1978	-1.01036
1979	-1.02183
1980	-1.03444
1981	-0.99976
1982	-0.98193
1983	-0.96520
1984	-0.96712
1985	-0.96905
1986	-0.96531
1987	-0.97851
1988	-0.97985
1989	-0.97775
1990	-0.96612
1991	-0.95264
1992	-0.93219
1993	-0.90907
1994	-0.88594
1995	-0.86292
1996	-0.84677
1997	-0.84484
1998	-0.84186
1999	-0.79946
2000	-0.80717
2001	-0.80977
2002	-0.79050
2003	-0.81814
2004	-0.84704
2005	-0.87104
2006	-0.86815
2007	-0.84333
2008	-0.81095
2009	-0.77835
2010	-0.75741
2011	-0.76142
2012	-0.75007
2013	-0.74037
2014	-0.73707
2015	-0.73704
2016	-0.73704
2017	-0.73704
2018	-0.73704
