Year	Data
1750	-0.001
1751	0.000
1752	0.000
1753	0.000
1754	0.000
1755	-0.664
1756	0.000
1757	0.000
1758	0.000
1759	0.000
1760	-0.060
1761	-1.093
1762	-0.300
1763	-0.093
1764	-0.021
1765	-0.003
1766	0.000
1767	0.000
1768	0.000
1769	0.000
1770	0.000
1771	0.000
1772	-0.070
1773	-0.020
1774	-0.005
1775	-0.001
1776	0.000
1777	0.000
1778	-0.067
1779	-0.071
1780	-0.018
1781	-0.004
1782	-0.001
1783	-7.857
1784	-0.522
1785	-0.121
1786	-0.027
1787	-0.002
1788	-0.133
1789	-0.041
1790	-0.009
1791	-0.001
1792	0.000
1793	0.000
1794	-0.157
1795	0.000
1796	-0.781
1797	-0.071
1798	-0.016
1799	-0.002
1800	0.000
1801	-0.154
1802	-0.048
1803	-0.011
1804	-0.230
1805	-0.070
1806	-0.016
1807	-0.002
1808	0.000
1809	-6.947
1810	-2.254
1811	-0.836
1812	-0.308
1813	-0.109
1814	0.000
1815	-11.629
1816	-4.553
1817	-2.419
1818	-0.915
1819	-0.337
1820	-0.039
1821	0.000
1822	0.000
1823	0.000
1824	0.000
1825	0.000
1826	0.000
1827	0.000
1828	0.000
1829	0.000
1830	0.000
1831	-1.538
1832	-1.229
1833	-0.605
1834	-0.223
1835	-4.935
1836	-1.445
1837	-0.523
1838	-0.192
1839	-0.069
1840	-0.047
1841	-0.013
1842	-0.003
1843	-0.052
1844	-0.014
1845	-0.003
1846	-0.071
1847	-0.020
1848	-0.005
1849	-0.001
1850	-0.100
1851	-0.075
1852	-0.025
1853	-0.025
1854	0.000
1855	-0.050
1856	-0.975
1857	-1.500
1858	-0.725
1859	-0.275
1860	-0.125
1861	-0.075
1862	-0.350
1863	-0.250
1864	-0.125
1865	-0.050
1866	-0.025
1867	0.000
1868	0.000
1869	-0.025
1870	-0.025
1871	-0.025
1872	-0.025
1873	-0.075
1874	-0.050
1875	-0.025
1876	-0.150
1877	-0.125
1878	-0.075
1879	-0.050
1880	-0.025
1881	-0.025
1882	-0.025
1883	-1.175
1884	-3.575
1885	-1.575
1886	-0.900
1887	-0.925
1888	-0.550
1889	-0.725
1890	-0.975
1891	-0.750
1892	-0.550
1893	-0.225
1894	-0.100
1895	-0.025
1896	-0.450
1897	-0.425
1898	-0.300
1899	-0.125
1900	-0.050
1901	-0.025
1902	-0.500
1903	-1.800
1904	-0.800
1905	-0.325
1906	-0.175
1907	-0.225
1908	-0.250
1909	-0.100
1910	-0.075
1911	-0.050
1912	-0.475
1913	-0.600
1914	-0.250
1915	-0.100
1916	-0.075
1917	-0.050
1918	-0.050
1919	-0.050
1920	-0.225
1921	-0.200
1922	-0.075
1923	-0.025
1924	-0.075
1925	-0.075
1926	-0.050
1927	-0.050
1928	-0.125
1929	-0.250
1930	-0.150
1931	-0.125
1932	-0.200
1933	-0.175
1934	-0.100
1935	-0.100
1936	-0.075
1937	-0.075
1938	-0.125
1939	-0.100
1940	-0.075
1941	-0.050
1942	-0.100
1943	-0.100
1944	-0.050
1945	-0.050
1946	-0.050
1947	-0.050
1948	-0.050
1949	-0.075
1950	-0.075
1951	-0.050
1952	-0.100
1953	-0.075
1954	-0.100
1955	-0.050
1956	-0.025
1957	-0.025
1958	0.000
1959	0.000
1960	-0.125
1961	-0.275
1962	-0.325
1963	-1.150
1964	-1.800
1965	-1.075
1966	-0.575
1967	-0.375
1968	-0.675
1969	-0.850
1970	-0.425
1971	-0.150
1972	-0.100
1973	-0.200
1974	-0.325
1975	-0.750
1976	-0.350
1977	-0.125
1978	-0.200
1979	-0.225
1980	-0.125
1981	-0.125
1982	-1.325
1983	-1.875
1984	-0.750
1985	-0.325
1986	-0.350
1987	-0.250
1988	-0.200
1989	-0.150
1990	-0.150
1991	-1.350
1992	-3.025
1993	-1.225
1994	-0.500
1995	-0.250
1996	-0.175
1997	-0.125
1998	-0.075
1999	-0.050
2000	-0.050
2001	-0.050
2002	-0.050
2003	-0.075
2004	-0.050
2005	-0.075
2006	-0.100
2007	-0.100
2008	-0.100
2009	-0.125
2010	-0.100
2011	-0.125
2012	-0.100
2013	-0.100
2014	-0.100
2015	-0.100
2016	-0.100
2017	-0.100
2018	-0.100
2019	-0.100
